,Infuse,Alternate,Foreshadow,Revoke,Exchange,Trust,Enrich,Plunder,,Total
Washer Barajas,3595,502,0,0,55,625,0,0,,4777
Kurt Crueller,0,0,3000,0,650,2838,0,0,,6488
Francisco Preston,0,0,0,0,0,156,0,0,,156
Bevan Wise,653,0,0,0,0,373,0,0,,1026
Bonk Jokes,0,0,0,0,0,10,0,0,,10
Chorby Short,1,0,0,0,0,9972,0,0,,9973
Tiana Wheeler,0,0,0,0,0,500,0,0,,500
Eizabeth Elliott,0,0,0,0,0,10,0,0,,10
Oscar Dollie,0,0,0,700,0,1433,0,0,,2133
James Mora,0,0,0,0,0,0,0,0,,0
Logan Rodriguez,16469,1000,1959,0,0,625,0,0,,20053
Inky Rutledge,14689,0,0,0,0,302,0,0,,14991
Curry Aliciakeyes,0,0,0,1000,0,300,0,0,,1300
King Weatherman,0,0,1,0,0,11525,0,0,,11526
,,,,,,,,,,
Total,35407,1502,4960,1700,705,28669,382,1720,,75045
